,tweets,date,user,location
157,"“i’m tired of it all now”

this mashiho and yedam ttaengbeol clip hits differently now

https://t.co/4qoEm2WQGm",2022-11-11 10:00:23+00:00,ourmashiho,only for mashiho and the pinks
158,"CUCI GUDANG Treasure The Second Step Chapter Two UNDERPRICE

Sealed no poster : 175.000
Sealed + poster : 185.000… https://t.co/m5xqGss2mi",2022-11-11 09:58:50+00:00,RedKpop,"Bandung, Indonesia"
159,Treasure maker (teume) will always be so proud of you guys. Comeback stronger my love. #TREASURE #MASHIHO #YEDAM… https://t.co/AXfV1nr68S,2022-11-11 09:55:34+00:00,Xcio_t,Malaysia
160,"to mashiho &amp; yedam,
i wish u both nothing but the best and long lasting happiness ♡♡

missing both of them so bad :(",2022-11-11 09:54:22+00:00,i4npsh,+60 she her
161,"I'd love to see this in the future though. 
Mashiho and Yedam, I'll wait... https://t.co/eJMWq5FWYp",2022-11-11 09:53:37+00:00,teshiamay,somewhere 
162,"im still with yedam and mashiho, i will never hate them for choosing their self. https://t.co/SIEGZ1WrY1",2022-11-11 09:48:47+00:00,pjwooluvbot,"
s!her / 09.28.04 
𖥻 jeongwoo, junghwan and asahi bias 
   my account is dedicated for treasure¹² ✦
   ꕤ 🧁 teume dont follow \\ sb to unfollow 
"
163,Yoshi's studio is a place where memorable moments with mashiho and yedam were made. So grateful that yoshi have bro… https://t.co/5DwNRIQm8K,2022-11-11 09:42:24+00:00,yoshinizm,🇵🇭 — she/her 
164,"Even if they leave, I'll still support them both. and I'll stick with Treasure because I still have ten reasons to… https://t.co/4Pyssz3zG8",2022-11-11 09:35:16+00:00,faharazzh,
165,"When YG announces Yedam and Mashiho hiatus, I got really scared. I ready myself for the announcement a month after… https://t.co/8hUdY6X1dK",2022-11-11 09:32:11+00:00,teume_verse,
166,I remember yedam and mashiho on this song https://t.co/KDJW5CBUKW,2022-11-11 09:29:45+00:00,yedamie_bg,
167,WHAT IF JEONGWOO TAKES YEDAM'S PART ON EVERYDAY ( THE ONE YEDAM HARMONIZE WITH HARUTO) OMGGG THAT WILL BE FIREE!! I… https://t.co/yT8aBqJsNq,2022-11-11 09:26:45+00:00,milkchoc15,
168,"+ Mashiho and Yedam, Thank you for being my treasure. For 2 years and forevermore. I am really proud and happy that… https://t.co/0SI6P5APwT",2022-11-11 09:24:57+00:00,_dnew6,she/her is kinda ia
169,"i will cry again a lot tomorrow, bc i wouldn't be able to hear mashiho and yedam's voice with a live band..  how ar… https://t.co/ZXxlGH7LZ5",2022-11-11 09:23:23+00:00,naeuyueopso,
170,"wts/want to sell pc treasure the second step chapter one

dom bogor — bisa 🍊

• jeongwoo benefit ktown set
• haruto… https://t.co/G5IR840BwJ",2022-11-11 09:21:22+00:00,jikyukies,
171,The rest of the class are forced to ignore haruto's character and pretens he doesn't exist. They were coerced by th… https://t.co/caN49YUWFT,2022-11-11 09:21:02+00:00,yan_dom,Philippines 
172,I miss mashiho and yedam,2022-11-11 09:20:53+00:00,jpntales,xan's side. she/her. dnf. 
173,"let's not fight and create animosity with each other. no matter what you want, Yedam and Mashiho are, were, will al… https://t.co/2xHZJfxD2n",2022-11-11 09:19:02+00:00,Teurejeo_kat,
174,"‼️wts lfb pc ph 
#woonexus_Onhand
November Sale!

✨Treasure Photocards
✨ Blooming Treasure
✨ Treasure 2nd Anniversa… https://t.co/lkH5aVGj7f",2022-11-11 09:17:13+00:00,WooNexus,Ilocos
175,"i cant wait for the day i will wake up with a news that mashiho is now okay and happy, yedam who already came back.… https://t.co/MgJBT1q3yV",2022-11-11 09:15:46+00:00,pjwooluvbot,"
s!her / 09.28.04 
𖥻 jeongwoo, junghwan and asahi bias 
   my account is dedicated for treasure¹² ✦
   ꕤ 🧁 teume dont follow \\ sb to unfollow 
"
176,"thank you, mashiho and yedam. https://t.co/qpdjE17qGc",2022-11-11 09:10:47+00:00,fukvoka,
177,@phoeislatte Grabe memories ng kanta nayan 😭 our first and last anniversary with mashiho and Yedam 😭🥺,2022-11-11 09:02:50+00:00,queenanne1300,Teuland
178,imagine going crazy without mashiho and yedam 😢 https://t.co/3jcTnPQ6gP,2022-11-11 08:58:02+00:00,minochrome_,f'96
179,Call me feelingera but krunk’s ‘going crazy’ ig post/reel felt like a treasure 12 tribute like…. With yedam and mas… https://t.co/fNFwnqUPeY,2022-11-11 08:53:12+00:00,gayylee,+63
180,Krunk posted a cover of U yesterday and Going Crazy today huhuhuhu Mashiho and Yedam’s voices tho 😭😭😭😭 ever since t… https://t.co/KBInanzccq,2022-11-11 08:50:45+00:00,trsrxteume,🇵🇭
181,"During lunch time, i decided to watch asmr wayo lyrics. Im smiling like an idiot , thinking that mashiho and yedam still with us... 😔",2022-11-11 08:45:00+00:00,diamondtrsrnoon,
182,They already loose Yedam &amp; Mashiho recently 😭😭😭 https://t.co/hEVFeP8Gta,2022-11-11 08:38:12+00:00,Nikkootine,"Iloilo City, Western Visayas"
183,"actually yg is sht to both yedam and junkyu im still mad coz jeongwoo, junkyu and mashiho are among the top vocals… https://t.co/6W2kAfeoFs",2022-11-11 08:37:55+00:00,yedaminoona,somewhere on this planet.
184,"dear yedam and mashiho,
I miss you https://t.co/vywzxtnBJb",2022-11-11 08:34:44+00:00,7820hanji,ji n kyu
185,"I'll support ot10 treasure until the end but mashiho and yedam will always be in my heart. 12 gems on our hearts, forever.",2022-11-11 08:29:04+00:00,pjeongwoonim,sa heart ni jeongwoo 
186,"WE TREASURE YEDAM AND MASHIHO
#ThankYouMASHIHOandYEDAM
#트메어디못가_시호담아_사랑해
#マシダムずっと大好きだよ",2022-11-11 08:24:06+00:00,Lopenyanunu,
187,im happy for yedam since i know he chose the path he wants to take but for mashiho i dont know when we will ever se… https://t.co/ZsmIZSgecG,2022-11-11 08:21:46+00:00,mashissoftie,19 y.o.
188,I just realized that the members are going to walk buy mashidams rooms in their dorm 😭🥹 #MASHIHO #YEDAM #MASHIDAM #TREASURE,2022-11-11 08:21:43+00:00,Melanie55621271,
189,"i miss you so much mashidam

#Mashiho #Yedam #MASHIDAM #Treasure",2022-11-11 08:17:27+00:00,amiii1320,teuland
190,mashiho and yedam. whatever you do please be happy and healthy 😔❤️,2022-11-11 08:16:27+00:00,12treasure__,Malaysia
191,I’ve been avoiding treasure content since the announcement but now I’m crying bc I saw a tiktok with yedam and mashiho,2022-11-11 08:08:23+00:00,hannie_yj,caratland multi stan
192,missing mashiho and yedam hours open,2022-11-11 08:03:14+00:00,pjwooluvbot,"
s!her / 09.28.04 
𖥻 jeongwoo, junghwan and asahi bias 
   my account is dedicated for treasure¹² ✦
   ꕤ 🧁 teume dont follow \\ sb to unfollow 
"
193,"omg, can't imagine going crazy without mashiho and yedam :(( https://t.co/rznW96VBbc",2022-11-11 08:02:53+00:00,minochrome_,f'96
194,"Mashiho yedam, I hope you are healthy and happy out there. I miss u and i love u guys.

Good luck boys, FIGHTINGG!!… https://t.co/kAuKy5vIoJ",2022-11-11 07:51:33+00:00,junankyu,random
195,It's funny seeing people talking about contracts as if they read it when yedam and mashiho posted it on twitter or… https://t.co/FyFpPHLY60,2022-11-11 07:44:13+00:00,notsosadme,she/her  |  UK
196,i'm just happy both of them chose themselves 🥺 not for the fans or other ppl but prioritizing yourself is what matt… https://t.co/iYwwcdPdCE,2022-11-11 07:40:29+00:00,seokmbin,♡
197,"So we’ve got ravn yedam mashiho and bvndit wth is going on in the 
kpop industry right now??",2022-11-11 07:39:07+00:00,heiweez,
198,"I’ve had lost many people already in my life this year💔and now💔tk boleh nk explain sakit tu mcm mana, it still hurt… https://t.co/9ONXlLUlq9",2022-11-11 07:35:34+00:00,brightrsr12,MY
199,"wts lfb ph go

treasure the second step: chapter one applewood pob r1 &amp; r2

𓋰 P100 ea
𓋰 onhand &amp; ready to ship
𓋰 pr… https://t.co/Zznx4vnH5F",2022-11-11 07:32:57+00:00,0209cart__,19 she/her
200,"wts lfb ph go

treasure the second step: chapter one the samee &amp; ktown4u ld

𓋰 P400
𓋰 onhand &amp; ready to ship
𓋰 pric… https://t.co/3RnDQGYJCl",2022-11-11 07:32:40+00:00,0209cart__,19 she/her
201,"I'm still sad over Mashiho Yedam and now BVNDIT disband, like... WHY?????",2022-11-11 07:31:04+00:00,pacemadker,21+ ㅡ she/her ㅡ isfp.
202,"@treasuremembers mashiho , i miss u so much . please come back when you're ready . it's hurt so much without you an… https://t.co/F2mA2ssdcL",2022-11-11 07:28:56+00:00,hiikunee,
203,i'm just happy both of them chose themselves 🥺 not for the fans or other ppl but prioritizing yourself is what matt… https://t.co/CjAvyRwN5s,2022-11-11 07:28:31+00:00,gyeombamm__,Makati City
204,"wts / lfb treasure mashiho yedam signed polaroid from welcoming collection 2021 ktown4u

you can dm or reply here t… https://t.co/XhDmNSw0Qm",2022-11-11 07:22:50+00:00,knkshoppeph,Republic of the Philippines
205,"WTT / LFT

HAVE : DOYOUNG TREASURE 2ND ANNIVERSARY MAGAZINE KTOWN POB
WANT : HYUNSUK POB

#to_hyunsuk #to_jihoon… https://t.co/xio9PfZy7P",2022-11-11 07:20:13+00:00,trejornoona,CHILLI'S NANNY
206,I miss you so much my Mashiho &amp; Yedam..,2022-11-11 07:17:47+00:00,xxijade_,
207,"Thank you and always with you Yedamie &amp; Mashi... 💔😭 @treasuremembers 

#TREASURE #YEDAM #MASHIHO #MASHIDAM #JUNKYU… https://t.co/rERcjGSHQG",2022-11-11 07:15:48+00:00,Koalacow99,
208,"I hope you're both ok and I wish you both the best ♡♥♡ 
#MASHIHO #YEDAM https://t.co/w1OvTVt78T",2022-11-11 07:12:17+00:00,xxhamadaxasahi,
209,"I miss so much my kijoring, gws my mashiho ❣️#TREASURE #TEUME #MASHIHO #YEDAM https://t.co/C3ofyiryzv",2022-11-11 07:07:34+00:00,intanmashiho,
210,@kkk_hyu @treasure_008 I LOVE MASHIHO YEDAM,2022-11-11 07:03:58+00:00,ilyyousmbebe,
211,was slowly getting interested with treasure bc of the amount of bang yedam tiktok vids im seeing last month &amp; now h… https://t.co/SqSbA4eqYi,2022-11-11 07:00:24+00:00,notkehla,Republic of the Philippines
212,"day 3 without Yedam &amp; Mashiho 
🍀🦊 https://t.co/mQy9kG7aoS",2022-11-11 06:53:44+00:00,07YEDAM,
213,"me rn:

#YEDAM #MASHIHO #TREASURE https://t.co/ZH9N7ELlY7",2022-11-11 06:43:09+00:00,haruto_things,fan account 
214,"all i pray now is for yedam to find his own place in this world, for mashiho to have his own peace, and for our 10… https://t.co/cCopTfpzmz",2022-11-11 06:36:42+00:00,Teurejeo_kat,
215,"I'll be waiting, miss you so much I will wait with hope #MASHIHO  #มาชิโฮะ #마시호 #マシホ  #Yedam #방예담 https://t.co/LIC5eVGLo9",2022-11-11 06:35:22+00:00,SGAILLLL,ประเทศไทย
216,Mashiho and yedam left the company. They're not even attach  to YG or even you. They dont need to update anyone abo… https://t.co/WV9tZCeM7W,2022-11-11 06:30:11+00:00,lunadami_noona,
217,Woke up crying and hurting again. Fck it hurts so much. I miss Bang Yedam and Mashiho.,2022-11-11 06:27:12+00:00,multipotato,PH
218,3 day without Yedam and Mashiho,2022-11-11 06:25:19+00:00,p_pahnm,colde | ph-1
219,if u have time to spare pls stop blaming yedam and mashiho for their own decisions and vote treasure on mama,2022-11-11 06:23:48+00:00,hoonchant,she her 
220,"Teumes let's continue voting for our boys at MAMA!! It is the last comeback of Mashidam and I know it is hard, but… https://t.co/8ifkabCeAa",2022-11-11 06:23:25+00:00,pelololoz,
221,"TREASURE UNIFORM PHOTOCARD
✧ by crownisme / na2timess ✧

Now available in shopee 👇 https://t.co/DfOGnZVJRb

Reshare… https://t.co/71jjmAOvQI",2022-11-11 06:20:34+00:00,na2timesss,
222,We have no right to blame them for anything because we ourselves failed to notice they were privately  struggling w… https://t.co/tegTSZ73Du,2022-11-11 06:19:20+00:00,unnie_kpops,
223,"@ygent_official @ygtreasuremaker YG, let's bring mashiho and yedam back to treasure😭😭😭",2022-11-11 06:18:23+00:00,aaiiyyy_,
224,"And to those blaming Mashidam.
Respect what Yedam wants, producer or singer, he deserves it. 
For fckness sake Mash… https://t.co/N9zyF0ZjMu",2022-11-11 06:17:01+00:00,TalulaGosh,
225,i love u mashiho yedam,2022-11-11 06:16:09+00:00,hoonchant,she her 
226,"— from @hamadahaul 💌 

mashiho x yedam membership kit pcs came home! teary eyed akong nag unbox 😭 thank you so much… https://t.co/sQkTBtwRlq",2022-11-11 06:14:24+00:00,sahicaraz,"
they them 
not a minor
0104 enthu"
227,mashiho’s and yedam’s smile is my favorite,2022-11-11 06:12:54+00:00,uriwoopy,
228,"@treasuremembers Woobear, Leonid Meteor shower is coming this Nov, 18, I will wait and wish a blessing for Treasure… https://t.co/sBClc4JzE8",2022-11-11 06:09:25+00:00,JustinPark009,TEULAND @ParkJeongwoo street
229,"answering messages in Tumblr about Mashiho and Yedam's exit, and now I'm teary-eyed at the airport 🥲",2022-11-11 06:04:51+00:00,leibesleid,'95 | PH
230,And even i let both of you go #YEDAM #MASHIHO Please remember that your name alr being there in my dictionary life❣️ https://t.co/kjhDqhJgAo,2022-11-11 06:04:50+00:00,teuskyland12,
231,@yesdammmmBYD I think hiatus words are just f**king bullshit statement to To create a mere pretense. I dont think h… https://t.co/PWSfKH9JyQ,2022-11-11 06:03:40+00:00,Riska0906,
232,i miss mashiho and yedam so badly pls,2022-11-11 06:01:14+00:00,sfiue,"nov 23rd, 2019"
233,"💐💖✨
Dear, Takata mashiho and Bang yedam. 
Thank you for being with treasure and treasure maker and goodluck to your… https://t.co/MBoDFjtYO7",2022-11-11 06:00:39+00:00,1201_project,
234,"wts | lfb | ph
#0807find ⌕ 

˚ੈ✩ wc member set
➥  ₱95.00 ea set + pf + lsf

┆ payo
┆ gcash
┆ currently sc0 only (jn… https://t.co/ys8jJcVmUS",2022-11-11 05:48:59+00:00,0807mail,집
235,"at the end of the day, life goes on and who gives a shit about what others want to do. let them live their lives, l… https://t.co/Y08C9LCJHG",2022-11-11 05:48:21+00:00,phoneclubs,
236,"mature is you shouldn't give a fuck about the fandom business and being able to understand that not yedam, not mash… https://t.co/PRjCGzREEr",2022-11-11 05:48:19+00:00,phoneclubs,
237,"wts lfb treasure ph 

The First Step: Treasure Effect

junkyu peace mashiho baby pout noot noot peace wink jaehyuk… https://t.co/iuWAfmGJ83",2022-11-11 05:47:59+00:00,_fantasahi,+63 | 01' 
238,"wts lfb treasure ph 

The First Step: Chapter Three 

hyunsuk heart jihoon peace yoshi junkyu bunny ears gwiyomi ma… https://t.co/UBNfmlyESp",2022-11-11 05:47:56+00:00,_fantasahi,+63 | 01' 
239,"wts lfb treasure ph 

The First Step: Chapter Two 

 jihoon diamond lipbite junkyu signal mashiho kiss heart asahi… https://t.co/yK7huGiT6J",2022-11-11 05:47:53+00:00,_fantasahi,+63 | 01' 
240,"wts | lfb | ph
#0807find ⌕ 

˚ੈ✩ treasure random / assorted pcs
➥  see pic for prices
x if sensitive

┆ payo
┆ gcas… https://t.co/cbalmJoFV4",2022-11-11 05:46:44+00:00,0807mail,집
241,"wts | lfb | ph
#0807find ⌕ 

˚ੈ✩ treasure pob pcs
➥  see pic for prices
x if sensitive

┆ payo
┆ gcash
┆ currently… https://t.co/QtAd4USXGj",2022-11-11 05:46:33+00:00,0807mail,집
242,"I’d cry a river and still call you worth it💛
THANK YOU YEDAM AND MASHIHO💛 https://t.co/MIZsS5logB",2022-11-11 05:37:02+00:00,arenne0223,"Kabacan, Soccsksargen"
243,"2021 TREASURE 1st Anniversary TEU-DAY
2022 TREASURE 1st Concert ""TRACE""
2022 TREASURE TOUR HELLO IN SEOUL 

We will… https://t.co/aHr2YyIJ2x",2022-11-11 05:34:22+00:00,starsukie1,🇰🇷
244,"Yedam and Mashiho leaving putanginang hurts pero support lang ako sa inyo bois, and I’ll still support treasure bec… https://t.co/obNo5Je4YE",2022-11-11 05:28:05+00:00,johnny_yeogisuh,she/her || 🇵🇭 ✈️ 🇺🇸|| 19!
245,i miss being here so much but everything just made me so busy then about mashiho yedam everything went downhill…,2022-11-11 05:27:07+00:00,yeonkyufilms,soft tofu prince
246,Mashiho and Yedam must be feeling sorry to members. I bet they alr apologizing many times to members. We don't have… https://t.co/up3kfeIqmd,2022-11-11 05:26:05+00:00,slothisagenius,
247,"Thank you, NCT! And to Newsen reported who followed Mashiho inside the airport that day 😭 

Praying for Mashiho’s f… https://t.co/LlVpOCHKAB",2022-11-11 05:25:42+00:00,dclaireee29,"Dubai, United Arab Emirates"
248,"Thank you Mashiho and Yedam. Thank you for wonderful days in my life ❤️‍🩹 

#TREASURE #MASHIHO #BANGYEDAM… https://t.co/Ebq1h4hwvR",2022-11-11 05:23:49+00:00,AteezsTinys,☆ 8 MAKES 1 TEAM ☆ -201206💗
249,"Wait, did mashiho and yedam left the group?! Don't tell me they did",2022-11-11 05:21:58+00:00,hanlixracha,she/her • 15
250,"thank you, mashiho and yedam. https://t.co/qpdjE0Phs4",2022-11-11 05:10:44+00:00,fukvoka,
251,I had a dream that yedam and mashiho were back and I'm crying I'm fucking mess rn,2022-11-11 05:05:29+00:00,sunshinehaelix,stay st.🍹//neocity🥂🇮🇳
252,"@kyeomspie ik when i heard yedam and mashiho were on a hiatus i reassured myself that it was just temp and they'll be back...but now I-
😭",2022-11-11 05:04:43+00:00,Soiria3Soiria,caratland
253,I'll limit myself listening to TREASURE song for maybe 2 weeks because I'm still in pain hearing the voice of MASHIHO and YEDAM &lt;/3,2022-11-11 05:03:10+00:00,cewuwu,Fanboying Account 
254,"THANK YOU SO MUCH MASHIHO AND YEDAM, WE’LL FOREVER LOVE AND SUPPORT YOU TWO🫶🏻💗✨

WE TREASURE YEDAM AND MASHIHO… https://t.co/fAIEDVG4Od",2022-11-11 05:00:57+00:00,KJKUPDATES,for trsr only!!
255,"thank you, mashiho and yedam. https://t.co/qpdjE16SQE",2022-11-11 04:56:01+00:00,fukvoka,
256,I don't know what to say but the feeling of being lonely since yedam and mashiho already decided to left their grou… https://t.co/4MOY4Z7kwo,2022-11-11 04:51:06+00:00,Gabby857188501,
257,"i won't accept any treasure, mashiho and yedam slander this time.",2022-11-11 04:49:22+00:00,softiesoogyu,sevenchillgo
258,"Spent his days at sopa going school with yedam, playing games in mashiho's room. And who did mashiho's asked to acc… https://t.co/jA60XbL9AE",2022-11-11 04:46:48+00:00,pjwtop,don't follow
259,0t12 forever 😘😭 #TEUME #TreasureMaker #treasure #MASHIHO #yedam https://t.co/juzd1uCPIE,2022-11-11 04:44:06+00:00,Riya__16,Republic of the Philippines
260,"WTB
WANT TO BUY
BAG CHARM STANDING OR BAG CHARM TATTON YEDEE &amp; MATETSU

tag. Yedam mashiho yedee matetsu truz treasure",2022-11-11 04:36:05+00:00,biebbyiswoo,Indoneia
261,I will now move forward and will continue to support the remaining 10 TREASURE Members as I should as a TREASURE MA… https://t.co/dhDcACo0k1,2022-11-11 04:35:58+00:00,teume_rosie,Philippines
262,me keep checking mashiho and yedam's # each minutes and hours. waiting for that anonymous acc to post something about a mashiho and yedam.,2022-11-11 04:35:09+00:00,cpykmyabkhps12,TEULAND
263,"Jaehyuk – Welcome Teume, Bling Like This
Yedam – Bling Like This
Mashiho – JIKJIN",2022-11-11 04:33:27+00:00,blueben_d,
264,"to my mashiho n yedam,

i'll miss you forever. you'll always be in my heart. thank you for the best memories and wi… https://t.co/z2TKCGppxV",2022-11-11 04:29:53+00:00,sahikult,
265,"yk, mashiho and yedam are they main reason why i stanned treasure.",2022-11-11 04:24:18+00:00,325times,always 012.
266,"as much as i want cry for yedam and mashiho, I just can't.. since idk what's the other members feel right now. Let'… https://t.co/lNc0CPCgGb",2022-11-11 04:20:15+00:00,nireussie1,
267,"hard to swallow pill;

treasure is 10 now. there is no more treasure mashiho and treasure yedam. treasure ot12 will… https://t.co/Jp0DuxwUH7",2022-11-11 04:19:53+00:00,volknotrsr,우dz ⠀⠀‌ ‌ ‌  ‌                         always 12. / treasure&woodz fan.
268,"please, hold on to each other's hand tightly my treasure!!🙏🏻😭

&amp; to mashidam we will always support u both. see u i… https://t.co/mJbyjIVcey",2022-11-11 04:18:17+00:00,bleszmeachuu, ۫ ⊹ treasure 🪐 ִ ۫ 
269,11/11 wish you all the best #MASHIHO and #YEDAM,2022-11-11 04:17:37+00:00,gyubeomkyut,    ♪kworld 🌐
270,11/11 wish you all the best mashiho and yedam ♡,2022-11-11 04:16:58+00:00,myjunkyuluvy,on going » •| ɪᴅéᴇ ғɪxᴇ 
271,a daily reminder for yedam and mashiho that I will always support and love you. see you soon babies💙,2022-11-11 04:15:58+00:00,Kallei2nebang,YGA's💖
272,"Day 3
#MASHIHO AND YEDAM https://t.co/fxqMDmr6W1",2022-11-11 04:12:26+00:00,kijuringmashiho,"Seoul, Republic of Korea"
273,"WISHING YOU ALL THE BEST, OUR ACES MASHIHO AND YEDAM
#우리_에이스_마시호와_예담이_모두_잘_되길_소망합니다
#BANGYEDAM #MASHIHO https://t.co/ZH2S8Vu6mW",2022-11-11 04:10:15+00:00,istrawperry,
274,"WISHING YOU ALL THE BEST, OUR ACES MASHIHO AND YEDAM
#우리_에이스_마시호와_예담이_모두_잘_되길_소망합니다
#BANGYEDAM #MASHIHO https://t.co/YuQGZbOmV9",2022-11-11 04:10:10+00:00,istrawperry,
275,"WISHING YOU ALL THE BEST, OUR ACES MASHIHO AND YEDAM
#우리_에이스_마시호와_예담이_모두_잘_되길_소망합니다
#BANGYEDAM #MASHIHO",2022-11-11 04:08:53+00:00,istrawperry,
276,"I kinda feel like they are going to change the logo too. 😭💔
My heart keeps aching… but lets keep going Teume for… https://t.co/xt4n0jDcEp",2022-11-11 04:05:49+00:00,alteregobyher,under the same skies
277,"Teuland is a mess.

Can we just wish Mashiho to be back in full health and continue his dream?

Can we just wish Ye… https://t.co/mfWuAmlRO3",2022-11-11 04:04:09+00:00,TalulaGosh,
278,"MY TREASURE ?

Mashiho Yedam TREASURE 😔 https://t.co/X31aw8opti",2022-11-11 03:53:53+00:00,kimdofyoung,Ppirotongtong 
279,"@daine_blackswan @BShyrgil WISHING YOU ALL THE BEST, OUR ACES MASHIHO AND YEDAM
#우리_에이스_마시호와_예담이_모두_잘_되길_소망합니다
#BANGYEDAM #MASHIHO",2022-11-11 03:46:35+00:00,yeddie25,Philippines
280,MASHIHO AND YEDAM LEFT TREASURE??,2022-11-11 03:46:13+00:00,minutiaesuga,biyytotiw
281,lol it was easy for some of you to let go of treasure and only support yedam/mashiho bcs you’ve never been a teume in the first place.,2022-11-11 03:42:28+00:00,EHLN01RE,ε travjen з
282,"[ wts/lfb ] ph only

— treasure: tss ch2 albums
      ↳ green and blue 150php unsealed 

• PAYO prio or 3days reser… https://t.co/FkeRB12heR",2022-11-11 03:41:27+00:00,volknoona,"ikon♡̷̷ b.i, treasure khh/krnb"
283,"[ wts/lfb ] ph only

— treasure: yedam handfan &amp; mashiho signed acrylic
      ↳ yedam handfan: 100php
      ↳ mashi… https://t.co/OxptIeQ1U0",2022-11-11 03:38:06+00:00,volknoona,"ikon♡̷̷ b.i, treasure khh/krnb"
284,@tanyakanrl Yedam sama mashiho leave treasure :'),2022-11-11 03:32:46+00:00,rnxclaws,She/Her  03'
285,"I LOVE Mashiho and Yedam. So please, GIVE THEM PEACE. By not spreading misleading information about them. duh! 😡",2022-11-11 03:14:48+00:00,fashihonista,
286,"11.11 - 11:11

TREASURE, MASHIHO, AND BANG YEDAM GOOD HEALTH AND HAPPINESS!!!!",2022-11-11 03:11:36+00:00,VOLKN0RI,12 🦊🍀💎
287,"yedam and mashiho, i love you both so much, i hope that you’re both okay, and more than anything i hope you see bet… https://t.co/bNVfs1P4Xq",2022-11-11 03:11:28+00:00,strwbrrynori,22 ⤏ she/her ♡
288,"and that includes even mashiho and yedam. i might be slowly accepting our current status, and will always give the… https://t.co/11ikJuENDV",2022-11-11 03:11:02+00:00,peppermint_cola,
289,Dude why am I just now finding out that two members from Treasure left?! And one of them is my bias! Dude wth is go… https://t.co/tgt5dnYgeH,2022-11-11 03:09:32+00:00,U_MakeSKZ_Stay,
290,"Be happy today too, Bang Yedam and Mashiho. ❤️ Loveyou!",2022-11-11 03:05:16+00:00,jaedamiyeyo0723,1999's
291,to yedam mashiho https://t.co/r6wgPEVpjz,2022-11-11 03:03:27+00:00,aboutmercia,🎧
292,"im not a teume pero usto ko talaga songs ng treasure,, i digress but smtn seems fishy sa contract dissolution talag… https://t.co/18f7Ot7rhF",2022-11-11 02:58:23+00:00,morkelele,baby bread | mahae
293,"💙💙💙

WE TREASURE YEDAM AND MASHIHO
#ThankYouMASHIHOandYEDAM
#트메어디못가_시호담아_사랑해
#マシダムずっと大好きだよ
@treasuremembers https://t.co/Ss2SVmqJv4",2022-11-11 02:56:53+00:00,blieghtnicooole,"San Simon, Central Luzon"
295,"Wts lfb treasure random pc

~ 1st row (120 each)
~ 2nd row (90 each)
~ onhand
~ payo

reply or dm to claim

t. bloo… https://t.co/uManYXQq7J",2022-11-11 02:53:33+00:00,gyupuppp,
296,missing yedam and mashiho &lt;3,2022-11-11 02:52:43+00:00,awinnwinwinn,"Bandar Melaka, Malacca"
297,"day 3
- I miss yedam mashiho I hope you happy",2022-11-11 02:52:05+00:00,makeyourdear,treasure
298,"@bswanmomsph WISHING YOU ALL THE BEST, OUR ACES MASHIHO AND YEDAM

#우리_에이스_마시호와_예담이_모두_잘_되길_소망합니다
#MASHIHO #BANGYEDAM",2022-11-11 02:48:03+00:00,_onlyangjungwon,
299,"i don’t go onto stan twitter/tiktok for weeks and all of a sudden come back to see enha-santa hat pfp’s, txt8 in ja… https://t.co/7pWyRKNpHn",2022-11-11 02:47:26+00:00,orgalorgunter,she/her | 20
301,"Thank you and be happy Yedam &amp; Mashiho, we always love you because treasure is always 12 forever https://t.co/w4AishZgsd",2022-11-11 02:44:52+00:00,larala_rara,she/her
302,"[ wts / want to sell / lfb ; ina only ]

sharing treasure welcoming collection 2021

˖ member set (polaroid + id) m… https://t.co/6FgQ3s7cHr",2022-11-11 02:44:19+00:00,obliviae,"bali, +62. tnc @ moment"
303,@Keonheesimplife Same tho... Though I was going to learn them after I finished with E'Last (which I still haven't d… https://t.co/ICV3sMvikX,2022-11-11 02:43:39+00:00,daydreamer5006,United States
304,See you both in the future. Mashiho and yedam. I'll wait for you. https://t.co/TAGgD6jmj1,2022-11-11 02:42:39+00:00,shinteUme12,
305,"kmungkinan yg bakal tjd sm mashiho
-being a soloist in kr
-being a soloist in jp
-anime voice actor
-youtuber
-make… https://t.co/slCalt061e",2022-11-11 02:38:58+00:00,ririsampis,
306,Hope you are having a good day.... Fighting for all of your respective schedules.... Health first and always be at… https://t.co/EW5rXN3yVZ,2022-11-11 02:38:27+00:00,uwietrz,She/her #TREASURE 💎 OT12🦊🍀 
307,"@treasuremenfess don't say goodbye, but say thank you to yedam and mashiho",2022-11-11 02:37:41+00:00,cxskep,RP/RL/CA/RANT 
308,"No matter what happens, I still support TREASURE with 10 members, and also support for Yoonbin, Mashiho, and Yedam",2022-11-11 02:37:26+00:00,xcocona,GMT+8
309,@Keonheesimplife Yedam was the only one I knew super well... until about 2 days ago when I binge watched the web se… https://t.co/4GmJuALTei,2022-11-11 02:35:51+00:00,daydreamer5006,United States
310,"Wts Lfb | Ph

Treasure TSS Chapter One - 130php each

Dm for condition
🏷️unsealed trsr album green blue hyunsuk jih… https://t.co/GtJ5qBZuVB",2022-11-11 02:30:54+00:00,luteumena,teuland
311,"Wts Lfb | Ph

Treasure Effect Full Album green ver - 325php

check photos for inclus

Dm for condition
🏷️unsealed t… https://t.co/Lyn2H7aIVe",2022-11-11 02:30:05+00:00,luteumena,teuland
